test,curve,x,y
"Microphysics Kernel","Kr_over_sig2",4.224,0.21250282427502204
"Microphysics Kernel","Kr_over_sig2",4.272,0.20511181695207686
"Microphysics Kernel","Kr_over_sig2",4.32,0.19789869908361465
"Microphysics Kernel","Kr_over_sig2",4.368,0.19086288276988012
"Microphysics Kernel","Kr_over_sig2",4.416,0.18400359196771976
"Microphysics Kernel","Kr_over_sig2",4.464,0.1773198703977963
"Microphysics Kernel","Kr_over_sig2",4.512,0.17081058952306494
"Microphysics Kernel","Kr_over_sig2",4.56,0.1644744565771549
"Microphysics Kernel","Kr_over_sig2",4.608,0.15831002262193877
"Microphysics Kernel","Kr_over_sig2",4.656,0.15231569061424194
"Microphysics Kernel","Kr_over_sig2",4.704,0.1464897234623658
"Microphysics Kernel","Kr_over_sig2",4.752,0.14083025205384142
"Microphysics Kernel","Kr_over_sig2",4.8,0.1353352832366127
"Microphysics Kernel","Kr_over_sig2",4.848,0.1300027077366511
"Microphysics Kernel","Kr_over_sig2",4.896,0.12483030799583289
"Microphysics Kernel","Kr_over_sig2",4.944,0.11981576591475605
"Microphysics Kernel","Kr_over_sig2",4.992,0.11495667048603503
"Microphysics Kernel","Kr_over_sig2",5.04,0.11025052530448522
"Microphysics Kernel","Kr_over_sig2",5.088,0.10569475594148853
"Microphysics Kernel","Kr_over_sig2",5.136,0.10128671717171844
"Microphysics Kernel","Kr_over_sig2",5.184,0.09702370004128698
"Microphysics Kernel","Kr_over_sig2",5.232,0.09290293876726276
"Microphysics Kernel","Kr_over_sig2",5.28,0.0889216174593863
"Microphysics Kernel","Kr_over_sig2",5.328,0.08507687665568198
"Microphysics Kernel","Kr_over_sig2",5.376,0.08136581966452526
"Microphysics Kernel","Kr_over_sig2",5.4239999999999995,0.07778551870657231
"Microphysics Kernel","Kr_over_sig2",5.4719999999999995,0.07433302085078967
"Microphysics Kernel","Kr_over_sig2",5.52,0.07100535373963701
"Microphysics Kernel","Kr_over_sig2",5.568,0.06779953109924783
"Microphysics Kernel","Kr_over_sig2",5.616,0.06471255803122683
"Microphysics Kernel","Kr_over_sig2",5.664,0.0617414360834291
"Microphysics Kernel","Kr_over_sig2",5.712,0.05888316809781038
"Microphysics Kernel","Kr_over_sig2",5.76,0.056134762834133725
"Microphysics Kernel","Kr_over_sig2",5.808,0.05349323936898553
"Microphysics Kernel","Kr_over_sig2",5.856,0.05095563127019423
"Microphysics Kernel","Kr_over_sig2",5.904,0.04851899054735398
"Microphysics Kernel","Kr_over_sig2",5.952,0.04618039137973475
"Microphysics Kernel","Kr_over_sig2",6,0.04393693362340742
"Microphysics Kernel","Kr_over_sig2",6.048,0.04178574609992927
"Microphysics Kernel","Kr_over_sig2",6.096,0.0397239896694186
"Microphysics Kernel","Kr_over_sig2",6.144,0.03774886009129898
"Microphysics Kernel","Kr_over_sig2",6.192,0.035857590676413836
"Microphysics Kernel","Kr_over_sig2",6.24,0.03404745473459933
"Microphysics Kernel","Kr_over_sig2",6.288,0.03231576782215888
"Microphysics Kernel","Kr_over_sig2",6.336,0.030659889794007515
"Microphysics Kernel","Kr_over_sig2",6.384,0.029077226665546733
"Microphysics Kernel","Kr_over_sig2",6.432,0.027565232289593337
"Microphysics Kernel","Kr_over_sig2",6.48,0.026121409853918212
"Microphysics Kernel","Kr_over_sig2",6.5280000000000005,0.02474331320515428
"Microphysics Kernel","Kr_over_sig2",6.5760000000000005,0.023428548005007887
"Microphysics Kernel","Kr_over_sig2",6.624,0.022174772724855196
"Microphysics Kernel","Kr_over_sig2",6.672,0.020979699484925722
"Microphysics Kernel","Kr_over_sig2",6.72,0.019841094744370298
"Microphysics Kernel","Kr_over_sig2",6.768,0.01875677984858105
"Microphysics Kernel","Kr_over_sig2",6.816,0.017724631440177767
"Microphysics Kernel","Kr_over_sig2",6.864,0.016742581740099346
"Microphysics Kernel","Kr_over_sig2",6.912,0.015808618705241848
"Microphysics Kernel","Kr_over_sig2",6.96,0.014920786069067842
"Microphysics Kernel","Kr_over_sig2",7.008,0.014077183271574843
"Microphysics Kernel","Kr_over_sig2",7.056,0.013275965284957033
"Microphysics Kernel","Kr_over_sig2",7.104,0.012515342341223657
"Microphysics Kernel","Kr_over_sig2",7.152,0.011793579567950649
"Microphysics Kernel","Kr_over_sig2",7.199999999999999,0.011108996538242316
"Microphysics Kernel","Kr_over_sig2",7.247999999999999,0.010459966740865344
"Microphysics Kernel","Kr_over_sig2",7.295999999999999,0.009844916976392452
"Microphysics Kernel","Kr_over_sig2",7.343999999999999,0.009262326685055377
"Microphysics Kernel","Kr_over_sig2",7.3919999999999995,0.008710727211861743
"Microphysics Kernel","Kr_over_sig2",7.4399999999999995,0.008188701014374083
"Microphysics Kernel","Kr_over_sig2",7.4879999999999995,0.007694880818387478
"Microphysics Kernel","Kr_over_sig2",7.536,0.0072279487265724356
"Microphysics Kernel","Kr_over_sig2",7.584,0.006786635284974872
"Microphysics Kernel","Kr_over_sig2",7.632,0.006369718512085283
"Microphysics Kernel","Kr_over_sig2",7.68,0.005976022895005943
"Microphysics Kernel","Kr_over_sig2",7.728,0.005604418357058429
"Microphysics Kernel","Kr_over_sig2",7.776,0.005253819200985388
"Microphysics Kernel","Kr_over_sig2",7.823999999999999,0.00492318303171088
