galaxy,n,chi2_bary,redchi2_bary,chi2_qds,redchi2_qds,improve_pct,v0,lam,out_csv
NGC5055,28,95924.4,3425.87,85994.1,3307.47,3.456,164.123,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5055_QDS_bestfit.csv
NGC5371,19,2412.54,126.976,2412.54,141.914,-11.765,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5371_QDS_bestfit.csv
NGC5585,24,4190.32,174.597,347.025,15.7739,90.966,148.165,12.9308,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5585_QDS_bestfit.csv
NGC5907,19,4802.41,252.759,86.6412,5.09654,97.984,226.897,39.1373,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5907_QDS_bestfit.csv
NGC5985,33,8469.01,256.637,115.324,3.72014,98.550,200.929,1.92532,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5985_QDS_bestfit.csv
NGC6015,44,4753.17,108.027,393.806,9.37632,91.320,143.703,11.3231,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6015_QDS_bestfit.csv
NGC6195,23,1354.46,58.8895,1354.46,64.498,-9.524,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6195_QDS_bestfit.csv
NGC6503,31,25645.1,827.26,535.294,18.4584,97.769,106.178,6.68302,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6503_QDS_bestfit.csv
NGC6674,15,15435.5,1029.03,103.005,7.92343,99.230,206.233,20.3157,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6674_QDS_bestfit.csv
NGC6789,4,57.5114,14.3778,0.556196,0.278098,98.066,120.8,1.28673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6789_QDS_bestfit.csv
NGC6946,58,5002.16,86.2441,5002.16,89.3242,-3.571,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC6946_QDS_bestfit.csv
NGC7331,36,5836.34,162.121,5638.75,165.846,-2.298,146.688,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC7331_QDS_bestfit.csv
NGC7793,46,116.893,2.54114,58.499,1.32952,47.680,200.838,20.5509,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC7793_QDS_bestfit.csv
NGC7814,18,2811.54,156.197,130.106,8.13165,94.794,225.576,13.6366,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC7814_QDS_bestfit.csv
PGC51017,6,19.4669,3.24448,19.4669,4.86672,-50.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/PGC51017_QDS_bestfit.csv
UGC00128,22,98063.6,4457.44,128.204,6.41021,99.856,116.001,6.44775,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC00128_QDS_bestfit.csv
UGC00191,9,4689.45,521.05,22.0783,3.15405,99.395,66.8046,1.92532,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC00191_QDS_bestfit.csv
UGC00634,4,4754.9,1188.73,2.49281,1.24641,99.895,104.276,5.68966,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC00634_QDS_bestfit.csv
UGC00731,12,2089.65,174.137,3.04196,0.304196,99.825,62.6509,1.63777,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC00731_QDS_bestfit.csv
UGC00891,5,7359.36,1471.87,3.13429,1.04476,99.929,73.9877,4.69629,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC00891_QDS_bestfit.csv
UGC01230,11,168.845,15.3495,3.82748,0.425276,97.229,91.3649,2.94483,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC01230_QDS_bestfit.csv
UGC01281,25,432.635,17.3054,7.58183,0.329645,98.095,68.2053,3.32388,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC01281_QDS_bestfit.csv
UGC02023,5,5.18072,1.03614,1.75242,0.58414,43.624,117.6,11.5584,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02023_QDS_bestfit.csv
UGC02259,8,3456.09,432.011,10.4818,1.74697,99.596,72.7685,1.06266,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02259_QDS_bestfit.csv
UGC02455,8,755.711,94.4639,755.711,125.952,-33.333,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02455_QDS_bestfit.csv
UGC02487,17,22944.6,1349.68,52.7298,3.51532,99.740,264.138,9.42785,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02487_QDS_bestfit.csv
UGC02885,19,913.979,48.1042,24.839,1.46112,96.963,279.258,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02885_QDS_bestfit.csv
UGC02916,43,10405.9,241.997,10405.9,253.802,-4.878,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02916_QDS_bestfit.csv
UGC02953,115,61012.3,530.542,8503.51,75.2523,85.816,279.924,30.2493,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC02953_QDS_bestfit.csv
UGC03205,48,7923.88,165.081,176.531,3.83764,97.675,212.483,22.1586,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC03205_QDS_bestfit.csv
UGC03546,30,2549.93,84.9978,791.065,28.2523,66.761,244.878,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC03546_QDS_bestfit.csv
UGC03580,47,14962.1,318.343,4709.65,104.659,67.124,160.125,18.6557,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/UGC03580_QDS_bestfit.csv
